Fernando Abad,30,TOT,AL,4,1,1,0,0,0,0,0,0,0
Fernando Abad,30,MIN,AL,2,1,1,0,0,0,0,0,0,0
Fernando Abad,30,BOS,AL,2,0,0,0,0,0,0,0,0,0
Jose Abre,29,CHW,AL,159,695,624,67,183,32,1,25,100,0
A.J. Achte,27,LAA,AL,3,0,0,0,0,0,0,0,0,0
Dustin Ackley,28,NYY,AL,28,70,61,6,9,0,0,0,4,0
Cristhian Adames,24,COL,NL,121,256,225,25,49,7,3,2,17,2
Matt Adams,27,STL,NL,118,327,297,37,74,18,0,16,54,0
Tim Adlema,28,CIN,NL,12,23,21,2,4,2,0,0,3,0
Ehire Adrianza,26,SFG,NL,40,71,63,3,16,2,0,2,7,0
Jesus Aguila,26,CLE,AL,9,6,6,0,0,0,0,0,0,0
Nick Ahme,26,ARI,NL,90,308,284,26,62,9,1,4,20,5
Matt Albers,33,CHW,AL,4,1,1,1,1,1,0,0,0,0
Hanser Albert,23,TEX,AL,35,58,56,2,8,1,0,0,5,1
Arismendy Alcantara,24,OAK,AL,16,19,19,2,4,1,0,0,2,3
Jorge Alfar,23,PHI,NL,6,17,16,0,2,0,0,0,0,0
Cody Alle,27,CLE,AL,6,0,0,0,0,0,0,0,0,0
Abraham Almonte,27,CLE,AL,67,194,182,24,48,20,1,1,22,8
Albert Almor,22,CHC,NL,47,117,112,14,31,9,1,3,14,0
Yonder Alonso,29,OAK,AL,156,532,482,52,122,34,0,7,56,3
Aaron Alther,25,PHI,NL,57,227,198,23,39,6,0,4,22,7
Jose Altuv,26,HOU,AL,161,717,640,108,216,42,5,24,96,30
Dariel Alvare,27,BAL,AL,2,4,3,0,1,1,0,0,0,0
Dario Alvarez,27,TOT,MLB,17,0,0,0,0,0,0,0,0,0
Dario Alvarez,27,ATL,NL,16,0,0,0,0,0,0,0,0,0
Dario Alvarez,27,TEX,AL,1,0,0,0,0,0,0,0,0,0
Jose Alvarez,27,LAA,AL,3,1,1,0,0,0,0,0,0,0
Pedro Alvarez,29,BAL,AL,109,376,337,43,84,20,0,22,49,1
Alexi Amarista,27,SDP,NL,65,150,140,9,36,2,0,0,11,9
Brett Anderson,28,LAD,NL,4,3,3,0,0,0,0,0,0,0
Chase Anderso,28,MIL,NL,28,52,45,3,4,0,0,0,1,0
Tim Anderso,23,CHW,AL,99,431,410,57,116,22,6,9,30,10
Tyler Anderson,26,COL,NL,20,42,35,1,4,0,0,1,3,0
Robert Andin,32,MIA,NL,13,24,24,2,7,0,0,0,1,0
Matt Andries,26,TBR,AL,1,1,1,0,0,0,0,0,0,0
Elvis Andru,27,TEX,AL,147,568,506,75,153,31,7,8,69,24
Norichika Aoki,34,SEA,AL,118,467,417,63,118,24,4,4,28,7
Jayson Aquino,23,BAL,AL,1,0,0,0,0,0,0,0,0,0
Elvis Araujo,24,PHI,NL,31,0,0,0,0,0,0,0,0,0
Chris Arche,27,TBR,AL,3,8,7,1,0,0,0,0,0,0
Orlando Arci,21,MIL,NL,55,216,201,21,44,10,3,4,17,8
Oswaldo Arcia,25,TOT,MLB,69,222,202,17,41,7,1,8,23,1
Oswaldo Arcia,25,TOT,AL,53,175,157,15,36,6,1,6,19,1
Oswaldo Arcia,25,TOT,NL,16,47,45,2,5,1,0,2,4,0
Oswaldo Arcia,25,MIN,AL,32,114,103,8,22,4,0,4,12,0
Oswaldo Arcia,25,TBR,AL,21,61,54,7,14,2,1,2,7,1
Oswaldo Arcia,25,MIA,NL,2,2,2,0,0,0,0,0,0,0
Oswaldo Arcia,25,SDP,NL,14,45,43,2,5,1,0,2,4,0
Nolan Arenad,25,COL,NL,160,696,618,116,182,35,6,41,133,2
Jake Arriet,30,CHC,NL,27,70,65,7,17,2,1,2,7,0
Cody Asche,26,PHI,NL,71,218,197,22,42,15,0,4,18,3
Alec Ashe,24,PHI,NL,5,11,11,0,1,0,0,0,2,0
Carlos Asuaje,24,SDP,NL,7,25,24,2,5,2,0,0,2,0
Tyler Austi,24,NYY,AL,31,90,83,7,20,3,0,5,12,1
Alex Avila,29,CHW,AL,57,209,169,19,36,6,0,7,11,0
Luis Avilan,26,LAD,NL,26,0,0,0,0,0,0,0,0,0
Mike Avile,35,DET,AL,68,181,167,17,35,5,1,1,6,2
John Axfor,33,OAK,AL,6,0,0,0,0,0,0,0,0,0
Erick Aybar,32,TOT,MLB,126,459,415,34,101,19,2,3,34,3
